Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1968,0.002,0.068,0.373,0.725,0.934,1.03,1.07,1.084,1.089,1.09,1.09,1.09,1.09,1.096
1969,0.002,0.068,0.373,0.722,0.929,1.025,1.064,1.078,1.083,1.084,1.084,1.084,1.084,1.09
1970,0.002,0.068,0.369,0.712,0.916,1.01,1.048,1.062,1.067,1.068,1.068,1.068,1.068,1.074
1971,0.002,0.062,0.335,0.648,0.834,0.92,0.955,0.968,0.972,0.973,0.973,0.973,0.973,0.98
1972,0.002,0.055,0.304,0.592,0.763,0.842,0.874,0.886,0.89,0.891,0.891,0.891,0.891,0.898
1973,0.001,0.046,0.261,0.511,0.661,0.73,0.758,0.768,0.772,0.772,0.772,0.772,0.772,0.78
1974,0.001,0.037,0.205,0.402,0.52,0.575,0.597,0.605,0.608,0.608,0.608,0.608,0.608,0.615
1975,0.001,0.039,0.212,0.411,0.53,0.584,0.607,0.615,0.617,0.618,0.618,0.618,0.618,0.625
1976,0.001,0.034,0.202,0.401,0.521,0.576,0.599,0.607,0.61,0.61,0.611,0.611,0.611,0.618
1977,0.001,0.028,0.166,0.33,0.427,0.473,0.491,0.498,0.5,0.501,0.501,0.501,0.501,0.508
1978,0.001,0.028,0.146,0.276,0.354,0.389,0.404,0.409,0.41,0.411,0.411,0.411,0.411,0.418
1979,0.001,0.029,0.159,0.305,0.392,0.431,0.448,0.453,0.455,0.456,0.456,0.456,0.456,0.462
1980,0.001,0.04,0.206,0.388,0.495,0.543,0.563,0.57,0.573,0.573,0.573,0.573,0.573,0.58
1981,0.001,0.034,0.198,0.389,0.502,0.554,0.576,0.584,0.586,0.587,0.587,0.587,0.587,0.594
1982,0.001,0.035,0.192,0.373,0.48,0.53,0.55,0.557,0.559,0.56,0.56,0.56,0.56,0.567
1983,0.001,0.035,0.195,0.376,0.483,0.533,0.553,0.56,0.562,0.563,0.563,0.563,0.563,0.57
1984,0.001,0.042,0.246,0.488,0.633,0.7,0.728,0.738,0.741,0.742,0.742,0.742,0.742,0.749
1985,0.001,0.046,0.265,0.52,0.672,0.743,0.772,0.783,0.786,0.787,0.787,0.787,0.787,0.793
1986,0.001,0.048,0.288,0.576,0.75,0.83,0.863,0.876,0.879,0.88,0.88,0.88,0.88,0.886
1987,0.001,0.052,0.312,0.626,0.815,0.903,0.939,0.952,0.956,0.957,0.958,0.958,0.958,0.962
1988,0.001,0.056,0.325,0.643,0.834,0.923,0.96,0.973,0.978,0.979,0.979,0.979,0.979,0.983
1989,0.001,0.056,0.33,0.648,0.838,0.927,0.963,0.977,0.981,0.982,0.982,0.982,0.982,0.987
1990,0.002,0.069,0.381,0.745,0.965,1.069,1.112,1.128,1.133,1.134,1.134,1.134,1.134,1.139
1991,0.001,0.06,0.397,0.822,1.087,1.214,1.267,1.287,1.293,1.295,1.295,1.295,1.295,1.299
1992,0.001,0.031,0.199,0.428,0.578,0.653,0.685,0.697,0.701,0.702,0.703,0.703,0.703,0.706
1993,0.001,0.029,0.132,0.27,0.362,0.408,0.428,0.436,0.439,0.439,0.44,0.44,0.44,0.445
1994,0.001,0.041,0.224,0.42,0.561,0.633,0.665,0.677,0.681,0.683,0.683,0.683,0.683,0.688
1995,0.002,0.051,0.248,0.453,0.569,0.633,0.662,0.673,0.677,0.678,0.678,0.678,0.678,0.683
1996,0.002,0.061,0.34,0.685,0.892,0.987,1.034,1.053,1.059,1.061,1.062,1.062,1.062,1.067
1997,0.002,0.052,0.33,0.708,0.965,1.088,1.14,1.163,1.171,1.173,1.174,1.174,1.174,1.18
1998,0.002,0.056,0.298,0.663,0.926,1.066,1.126,1.149,1.158,1.161,1.162,1.162,1.162,1.17
1999,0.002,0.051,0.294,0.67,0.989,1.168,1.253,1.287,1.298,1.302,1.303,1.303,1.303,1.312
2000,0.002,0.063,0.36,0.76,1.074,1.272,1.368,1.409,1.424,1.428,1.429,1.43,1.43,1.436
2001,0.002,0.055,0.356,0.765,1.066,1.25,1.352,1.397,1.414,1.42,1.421,1.421,1.421,1.428
2002,0.001,0.044,0.244,0.544,0.763,0.891,0.961,0.997,1.011,1.016,1.017,1.017,1.017,1.026
2003,0.001,0.042,0.245,0.533,0.772,0.91,0.982,1.018,1.035,1.041,1.043,1.043,1.043,1.051
2004,0.002,0.04,0.238,0.543,0.784,0.94,1.021,1.061,1.08,1.087,1.09,1.09,1.09,1.1
2005,0.002,0.045,0.206,0.437,0.623,0.736,0.801,0.832,0.847,0.852,0.854,0.855,0.855,0.864
2006,0.001,0.033,0.212,0.475,0.7,0.845,0.926,0.969,0.988,0.996,0.999,1,1,1.009
2007,0.001,0.018,0.145,0.374,0.566,0.699,0.778,0.819,0.84,0.849,0.852,0.853,0.854,0.866
2008,0.001,0.017,0.105,0.277,0.435,0.539,0.604,0.641,0.66,0.668,0.672,0.673,0.673,0.689
2009,0.001,0.021,0.116,0.265,0.417,0.521,0.583,0.62,0.639,0.649,0.652,0.654,0.654,0.673
2010,0.001,0.02,0.118,0.266,0.396,0.499,0.564,0.6,0.621,0.631,0.636,0.637,0.638,0.66
2011,0.001,0.019,0.123,0.302,0.457,0.57,0.652,0.702,0.729,0.744,0.751,0.754,0.755,0.776
2012,0.001,0.023,0.146,0.384,0.627,0.802,0.921,1.006,1.056,1.084,1.098,1.104,1.107,1.129
2013,0.001,0.015,0.096,0.263,0.454,0.612,0.719,0.792,0.843,0.873,0.889,0.898,0.901,0.925
2014,0.001,0.017,0.097,0.255,0.44,0.604,0.729,0.812,0.868,0.907,0.929,0.941,0.948,0.974
2015,0.001,0.018,0.1,0.25,0.424,0.583,0.712,0.806,0.869,0.911,0.94,0.956,0.964,0.99
2016,0.001,0.012,0.073,0.186,0.308,0.421,0.516,0.591,0.645,0.681,0.705,0.721,0.73,0.76
2017,0.001,0.011,0.064,0.165,0.273,0.367,0.447,0.511,0.561,0.597,0.62,0.636,0.646,0.678
2018,0,0.009,0.049,0.126,0.211,0.286,0.346,0.395,0.435,0.466,0.488,0.502,0.511,0.542
