Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2008,0.0012,0.0037,0.0039,0.1179,0.5160,0.5793,0.9362,0.9931,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2009,0.0004,0.0045,0.0159,0.0202,0.3343,0.8299,0.8660,0.9861,0.9986,1.0000,1.0000,1.0000,1.0000,1.0000
2010,0.0000,0.0026,0.0162,0.0663,0.0991,0.6534,0.9571,0.9681,0.9971,0.9997,1.0000,1.0000,1.0000,1.0000
2011,0.0014,0.0000,0.0165,0.0564,0.2381,0.3696,0.8762,0.9903,0.9930,0.9994,0.9999,1.0000,1.0000,1.0000
2012,0.0006,0.0062,0.0005,0.0982,0.1786,0.5791,0.7575,0.9637,0.9979,0.9985,0.9999,1.0000,1.0000,1.0000
2013,0.0007,0.0036,0.0268,0.0212,0.4136,0.4415,0.8583,0.9433,0.9901,0.9995,0.9997,1.0000,1.0000,1.0000
2014,0.0007,0.0033,0.0203,0.1076,0.5010,0.8204,0.7419,0.9638,0.9888,0.9973,0.9999,0.9999,1.0000,1.0000
2015,0.0007,0.0033,0.0158,0.1061,0.3455,0.9789,0.9673,0.9127,0.9915,0.9979,0.9993,1.0000,1.0000,1.0000
2016,0.0007,0.0033,0.0158,0.0783,0.4052,0.6980,0.9995,0.9948,0.9744,0.9981,0.9996,0.9998,1.0000,1.0000
2017,0.0007,0.0033,0.0158,0.0783,0.4172,0.7962,0.9101,1.0000,0.9992,0.9928,0.9996,0.9999,0.9999,1.0000
2018,0.0007,0.0033,0.0158,0.0783,0.4172,0.8244,0.9573,0.9779,1.0000,0.9999,0.9980,0.9999,1.0000,1.0000
